poviat,unemployment,age,feminization,services,retirees,soc_assistance,marriages,city,working_age,Duda_majority
leżajski,12.4,40.2,102,22.582417582417584,16.554706645524004,431.3729654029119,0.1358800634279948,0,62.1,1
lęborski,8.7,39.6,103,35.128352215689084,16.108296150646602,516.4414917946003,0.1354306889510701,0,60.5,0
lidzbarski,12.9,41.4,103,26.033981667784484,17.29237493929092,494.9024118504128,0.14133074307916466,0,61.3,0
limanowski,6.8,36.1,100,17.580629725332567,13.25703530554628,292.1779579399533,0.15506511642026655,0,61.1,1
lipnowski,15.5,39.2,101,25.852853843615968,15.172623574144486,557.7870603802281,0.1490190114068441,0,62.3,1
lipski,9.8,43.1,102,17.634308716519584,20.04192005668064,412.5939844718663,0.15655074688551693,0,59.4,1
lubaczowski,8.4,41.0,101,22.444803446418955,17.083506890993714,517.9719220529909,0.15701686074940688,0,62.5,1
lubański,6.9,42.9,105,30.640837152987977,19.16909352305821,298.7139735319055,0.13646920042761823,0,60.7,0
lubartowski,10.3,40.6,105,18.565818799306612,17.721160811300255,347.5237066506701,0.14539568996740312,0,60.4,1
lubelski,5.6,39.8,104,15.822433793964043,15.865934715811939,274.0909700062996,0.12105472918246918,0,61.2,1
lubiński,4.1,42.7,107,34.825235995188976,19.839849269901084,267.6747945360339,0.14884597268016958,0,58.5,1
Lublin,5.0,42.1,117,51.79801587897162,20.211369575965907,467.435066866009,0.13457667223883407,1,58.6,0
lubliniecki,5.1,41.3,104,30.36443220380662,16.754522504610797,522.2150921505279,0.13484454094779663,0,61.7,1
lwówecki,11.2,42.2,105,29.30337612933904,18.31682090364725,434.68553184540013,0.13097441480675012,0,61.0,0
łańcucki,9.6,39.3,103,24.02146599088547,16.741724142185593,256.4211975471628,0.13489370627645006,0,60.3,1
łaski,7.1,42.3,106,19.948441883387673,18.638567250290475,291.10043871949995,0.12963259745983413,0,60.4,1
łęczycki,6.3,43.0,106,18.09616263133851,19.727822783283415,460.0783048224013,0.1445514302369992,0,59.8,1
łęczyński,5.2,38.9,104,14.34761884127053,14.482566150948003,304.03515026774346,0.14786066874814674,0,62.3,1
łobeski,19.0,41.6,100,28.67772438381646,17.86570743405276,635.9627406256812,0.09578700675822978,0,60.4,0
Łomża,7.6,41.3,110,48.046379612295425,16.743188497894987,376.91436539836366,0.13530860274843118,0,60.9,1
łomżyński,6.0,39.7,98,10.40650406504065,15.688122018726812,239.65552323184733,0.14681114186443672,0,62.9,1
łosicki,4.2,41.0,101,13.410722468306094,19.087541431078183,239.500009748489,0.15994020926756353,0,59.1,1
łowicki,4.7,42.1,107,18.345323741007196,19.132127171922814,257.58793108746596,0.1439327008028272,0,59.4,1
łódzki wschodni,6.1,41.9,108,19.382430469632578,17.36377616758337,404.95317682428407,0.12891561257429446,0,60.1,1
Łódź,4.8,45.1,119,48.57530899852087,23.83795064571779,421.55874247912686,0.13019364915485315,1,56.4,0
łukowski,4.2,38.5,101,18.015701885332007,16.475996105452367,240.5345008238466,0.16407654284002396,0,59.8,1
makowski,15.4,40.5,100,22.601626016260163,17.555466452820102,345.89483137307315,0.15931569099171344,0,59.9,1
malborski,10.0,41.0,105,42.38538880177106,16.959193319678587,485.844690247361,0.16379391838663937,0,60.5,0
miechowski,3.8,42.4,103,19.243236871574233,20.506780285960097,523.9937215781065,0.1447212093899791,0,58.8,1
mielecki,4.3,40.0,103,17.50582968006716,16.838138445777844,284.854491731304,0.1382043026489097,0,61.1,1
międzychodzki,4.3,40.3,101,24.569621735566226,16.76416968245762,709.613000190471,0.1352344153900574,0,60.4,0
międzyrzecki,9.4,41.4,102,30.03259688518653,17.614870146790583,727.5022730826022,0.13619386780161558,0,60.8,0
mikołowski,2.8,40.6,106,25.09059186686351,16.471360743509447,351.20330397009803,0.12783109404990403,0,60.2,0
milicki,6.4,40.1,102,30.839594903626267,17.413984161734103,539.7073796589096,0.1514365253114949,0,59.2,1
miński,4.8,39.6,105,27.119515885022693,16.124147392671784,308.67607308802405,0.12502103205932982,0,59.7,1
mławski,5.8,40.0,104,21.246333007378432,16.44590091702696,248.56266488585356,0.14979483931374438,0,61.5,1
mogileński,9.8,41.0,105,23.88372287844517,17.109099278809268,441.5075665840987,0.14583835682500712,0,61.4,1
moniecki,6.7,41.6,101,17.648942985265855,18.27427496783134,339.7262528456894,0.143472235969514,0,62.5,1
mrągowski,10.0,41.1,104,24.3685370401763,15.88561552992243,566.6269098910815,0.13996623929906354,0,62.3,0
Mysłowice,4.8,41.6,107,29.49868956672057,17.172800128655282,282.0897444316385,0.13668283792114502,0,60.7,0
myszkowski,5.5,43.2,107,23.727678571428573,19.396162528216703,274.92558577878106,0.14001128668171559,0,59.6,1
myślenicki,2.4,37.6,102,20.15209125475285,13.83385579937304,304.9479205329153,0.13948275862068965,0,61.7,1
myśliborski,6.8,41.6,104,31.466876971608833,17.56909107529175,539.7510964685091,0.13615588531033854,0,60.8,0
nakielski,10.5,39.4,102,29.025301141444427,15.49628668420016,469.9718291990592,0.1432146539838491,0,61.4,0
namysłowski,7.5,41.3,105,26.04361985591631,17.626776750949947,311.78961298494164,0.13960688652249378,0,61.0,1
nidzicki,7.2,40.6,101,27.44617061869719,15.947895425632286,508.1595541284962,0.15031804486106462,0,61.9,1
niżański,15.8,40.5,102,19.28920937419521,15.905029359203471,244.15385814473862,0.12876000540629834,0,64.0,1
nowodworski,5.5,40.7,105,24.505277044854882,16.61417521227544,347.2370886139736,0.1288770188213359,0,60.5,1
